date,tournament,level,round,round_name,team1,team2,score,winner,duration_min,n_sets,status,category
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Beatriz Caldera Sanchez / Carmen Goenaga Garcia,Jimena Velasco Postiguillo / Marta Barrera De La Fuente,6-3 · 6-2,Beatriz Caldera Sanchez / Carmen Goenaga Garcia,88.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Raquel Eugenio Barrera / Martina Fassio Goyeneche,Natalia Molinilla Paniagua / Maria Teresa Moriñigo Gomez,6-4 · 6-2,Raquel Eugenio Barrera / Martina Fassio Goyeneche,63.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Marta Talavan / Sofia Saiz Vallejo,Giorgia Marchetti / Marta Borrero,7-6(4) · 6-3,Marta Talavan / Sofia Saiz Vallejo,108.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Lorena Rufo Ortiz / Jessica Castello Lopez,Amanda Lopez Moral / Carla Touly,7-6(4) · 6-3,Lorena Rufo Ortiz / Jessica Castello Lopez,101.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Nuria Rodriguez / Giulia Dal Pozzo,Virginia Riera / Teresa Navarro Lopez-Barajas,6-3 · 6-1,Nuria Rodriguez / Giulia Dal Pozzo,73.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Ksenia Sharifova / Alix Collombon,Marta Caparros Maldonado / Julieta Evangelina Bidahorria,3-6 · 3-6,Marta Caparros Maldonado / Julieta Evangelina Bidahorria,75.0,2,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Carolina Orsi / Patricia Llaguno Zielinski,Lucia Sainz Pelegri / Jana Montes Cabruja,3-6 · 6-3 · 5-7,Lucia Sainz Pelegri / Jana Montes Cabruja,107.0,3,finished,women
2026-06-24,Valladolid P2 2026,P2,16,Round of 32,Victoria Iglesias Segador / Aranzazu Osoro Ulrich,Lucia Martinez Gomez / Agueda Perez Ortiz,4-6 · 6-1 · 6-3,Victoria Iglesias Segador / Aranzazu Osoro Ulrich,112.0,3,finished,women
2026-06-21,-,-,1,Finals,Veronica Virseda / Marina Guinart,Patricia Llaguno Zielinski / Carolina Orsi,6-3 · 6(2)-7 · 6-4,Veronica Virseda / Marina Guinart,,3,finished,women
2026-06-21,-,-,2,Semifinals,Noa Canovas Paredes / Maria Eulalia Rodriguez Abajo,Carla Touly / Anna Ortiz Gasco,6-1 · 6-0,Noa Canovas Paredes / Maria Eulalia Rodriguez Abajo,,2,finished,women
