ranking,name,nationality,side,points,ranking_diff,points_diff,date
1,Agustin Tapia,AR,Reves,21623,0,-71,2026-06-22
1,Arturo Coello,ES,Drive,21623,0,-71,2026-06-22
3,Alejandro Galan,ES,Reves,17626,0,-43,2026-06-22
3,Federico Chingotto,AR,Drive,17626,0,-43,2026-06-22
5,Juan Lebron,ES,Drive,7800,0,0,2026-06-22
6,Leo Augsburger,AR,Reves,7026,0,-13,2026-06-22
7,Franco Stupaczuk,AR,Reves,7020,0,0,2026-06-22
8,Miguel Yanguas,ES,Drive,6921,0,-26,2026-06-22
9,Jorge Nieto,ES,Reves,5946,0,-26,2026-06-22
10,Francisco Navarro,ES,Reves,5881,0,-26,2026-06-22
11,Jon Sanz,ES,Drive,5106,0,-13,2026-06-22
12,Martin Di Nenno,AR,Drive,5016,0,-13,2026-06-22
13,Francisco Guerrero,ES,Drive,4543,0,-6,2026-06-22
14,Momo Gonzalez,ES,Reves,4346,0,-13,2026-06-22
15,Lucas Bergamini,BR,Drive,3951,0,-26,2026-06-22
16,Edu Alonso,ES,Drive,3231,0,-13,2026-06-22
17,Javier Leal,ES,Reves,3219,0,-3,2026-06-22
18,Juan Tello,AR,Reves,3209,-2,252,2026-06-22
19,Lucas Campagnolo,BR,Drive,3033,1,-6,2026-06-22
20,Javier Garrido,ES,Reves,3011,1,-13,2026-06-22
21,Alex Ruiz,ES,Drive,2568,0,-1,2026-06-22
22,Javier Garcia,ES,Reves,2554,0,42,2026-06-22
23,Jairo Bautista,ES,Reves,2428,0,39,2026-06-22
24,Juanlu Esbri,ES,Reves,2380,0,0,2026-06-22
25,Javier Barahona,ES,Drive,2324,0,-3,2026-06-22
26,Alejandro Arroyo,ES,Reves,2276,0,-8,2026-06-22
27,Alex Chozas,AR,Reves,2228,0,-6,2026-06-22
28,Maximiliano Arce,AR,Drive,2207,-7,278,2026-06-22
29,Tolito Aguirre,AR,Drive,2194,1,-3,2026-06-22
30,Sanyo Gutierrez,AR,Drive,2124,-3,152,2026-06-22
